epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,105.847,0.53502,0.78219,1,0.46236,0.00998413,0.00332804,0.00998413,0.00332804,0.00998413,0.00332804,0.00998413,0.00332804
2,156.172,0.51032,0.78608,1,0.47592,0.0193247,0.00644155,0.0193247,0.00644155,0.0193247,0.00644155,0.0193247,0.00644155
3,211.436,0.50755,0.77841,1,0.48211,0.0280052,0.00933506,0.0280052,0.00933506,0.0280052,0.00933506,0.0280052,0.00933506
4,258.317,0.50282,0.79397,1,0.45907,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,309.695,0.48771,0.80637,1,0.42962,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,404.757,0.48113,0.80805,1,0.4267,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,453.806,0.47623,0.80132,1,0.43202,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,500.453,0.46858,0.80732,1,0.42186,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,547.785,0.46231,0.80784,1,0.41344,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,592.916,0.46013,0.80753,1,0.41481,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,640.503,0.45665,0.81015,1,0.40884,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,687.209,0.4544,0.81972,1,0.40205,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,734.137,0.44946,0.81394,1,0.40903,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,778.458,0.44872,0.81331,1,0.40648,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,822.925,0.44516,0.82035,1,0.39793,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,866.763,0.44469,0.82046,1,0.3945,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,911.561,0.44004,0.8213,1,0.39634,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,955.475,0.43711,0.82256,1,0.39121,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,999.839,0.4333,0.82235,1,0.38863,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,1043.86,0.43311,0.82224,1,0.39049,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,1152.09,0.42799,0.82109,1,0.38818,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,1207.43,0.42794,0.82109,1,0.38893,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,1251.48,0.42444,0.82182,1,0.38931,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,1296.26,0.42278,0.82235,1,0.38804,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,1340.76,0.41796,0.82287,1,0.38797,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,1385.03,0.41581,0.82277,1,0.39041,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,1428.94,0.41239,0.82287,1,0.38971,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,1473.81,0.4086,0.82256,1,0.39001,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,1518.28,0.40574,0.8214,1,0.38969,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,1563.34,0.40194,0.82245,1,0.38928,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
