epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8835,2.2993,3.99644,3.298,1.64724,0,0.02783,0.06341,0.00821,0.00276,0.00127,0.30732,0.00376,0.00078,2.10386,3.92576,29.835,1.36292,0,0.000659649,0.000659649,0.000659649
2,51.8514,2.23179,3.70856,2.83559,1.57838,0,0.0448,0.08293,0.01187,0.00404,0.03242,0.06341,0.00874,0.00245,1.92147,3.50252,41.2548,1.40015,0,0.00129349,0.00129349,0.00129349
3,71.0643,2.25054,3.69958,2.65536,1.56665,0,0.03603,0.03902,0.00876,0.00239,0.03616,0.0439,0.0066,0.00286,2.12099,3.72573,18.153,1.52629,0,0.00189433,0.00189433,0.00189433
4,89.2599,2.23138,3.63638,2.6277,1.56841,0,0.02958,0.04878,0.00625,0.00219,0.02505,0.0439,0.00504,0.00142,1.95349,3.32174,37.5539,1.28965,0,0.0018515,0.0018515,0.0018515
5,107.481,2.19485,3.59154,2.5234,1.54565,0,0.05082,0.10244,0.02105,0.00702,0.04553,0.07317,0.01711,0.00449,1.91264,3.07531,73.5478,1.4013,0,0.001802,0.001802,0.001802
6,125.849,2.16034,3.57879,2.44541,1.50371,0,0.08293,0.08293,0.02737,0.01141,0.08293,0.08293,0.02653,0.0087,1.79601,2.84123,9.06603,1.35855,0,0.0017525,0.0017525,0.0017525
7,144.379,2.16855,3.52982,2.46328,1.50783,0,0.06211,0.06829,0.01652,0.00715,0.06655,0.07317,0.01791,0.00582,1.88343,2.80262,76.5171,1.32221,0,0.001703,0.001703,0.001703
8,162.656,2.10301,3.52767,2.43715,1.49871,0,0.06898,0.07317,0.01686,0.00686,0.06438,0.06829,0.01492,0.00404,1.84477,2.87051,19.1485,1.29393,0,0.0016535,0.0016535,0.0016535
9,180.933,2.07943,3.40801,2.37441,1.4687,0,0.06472,0.07805,0.01797,0.0074,0.06533,0.07805,0.01558,0.00565,1.76751,2.91271,30.1882,1.28195,0,0.001604,0.001604,0.001604
10,199.261,2.05542,3.4373,2.35942,1.48445,0,0.12692,0.06829,0.03042,0.01333,0.09034,0.06341,0.02678,0.00837,1.72176,2.67298,25.4439,1.28118,0,0.0015545,0.0015545,0.0015545
11,217.261,2.01484,3.35675,2.31531,1.44467,0,0.07402,0.06341,0.02506,0.00891,0.06832,0.05854,0.01975,0.00678,1.78456,2.8345,14.8014,1.32013,0,0.001505,0.001505,0.001505
12,235.359,2.06228,3.35811,2.32768,1.44307,0,0.06364,0.11707,0.02342,0.00874,0.05905,0.10732,0.0188,0.00653,1.7769,2.77049,12.3287,1.29876,0,0.0014555,0.0014555,0.0014555
13,253.469,2.03089,3.38064,2.33042,1.44004,0,0.06389,0.14146,0.02905,0.01165,0.0668,0.14634,0.02578,0.00841,1.76509,2.71285,39.951,1.28582,0,0.001406,0.001406,0.001406
14,271.637,2.00605,3.3044,2.27555,1.42654,0,0.05603,0.0878,0.02617,0.01107,0.05127,0.08293,0.02324,0.01026,1.79866,2.65474,7.17307,1.32783,0,0.0013565,0.0013565,0.0013565
15,290.093,1.98605,3.32342,2.26452,1.42223,0,0.05527,0.04878,0.01436,0.00659,0.05527,0.04878,0.01372,0.00517,1.88444,2.86269,136.369,1.26998,0,0.001307,0.001307,0.001307
16,308.171,2.01158,3.34683,2.24109,1.43169,0,0.06868,0.08293,0.02105,0.00804,0.06364,0.07805,0.01902,0.00539,1.83537,2.71823,7.69848,1.27817,0,0.0012575,0.0012575,0.0012575
17,326.137,1.9406,3.26341,2.2561,1.41204,0,0.07078,0.0878,0.03574,0.01477,0.0932,0.09756,0.03482,0.01168,1.71204,2.68482,12.9942,1.23629,0,0.001208,0.001208,0.001208
18,344.154,1.97295,3.28949,2.23257,1.40467,0,0.11084,0.08293,0.03015,0.01343,0.11084,0.08293,0.02835,0.00884,1.77866,2.75465,11.7049,1.31724,0,0.0011585,0.0011585,0.0011585
19,362.084,1.95557,3.28038,2.22457,1.41542,0,0.0868,0.06341,0.03025,0.01108,0.06957,0.04961,0.02565,0.00838,1.76808,2.70122,4.93732,1.34039,0,0.001109,0.001109,0.001109
20,380.041,1.9383,3.28621,2.22744,1.42078,0,0.0704,0.13171,0.03923,0.01515,0.06636,0.12195,0.03139,0.01015,1.74398,2.62904,22.4156,1.34919,0,0.0010595,0.0010595,0.0010595
21,398.206,1.92616,3.22511,2.18447,1.39527,0,0.07042,0.12195,0.03283,0.01412,0.06229,0.13659,0.03058,0.01087,1.74608,2.71082,15.7466,1.28848,0,0.00101,0.00101,0.00101
22,417.074,1.93077,3.22472,2.14967,1.38168,0,0.07052,0.16098,0.0286,0.01031,0.06227,0.16585,0.02409,0.00744,1.6596,2.59225,33.2588,1.263,0,0.0009605,0.0009605,0.0009605
23,437.306,1.90699,3.23254,2.1501,1.38863,0,0.15897,0.10732,0.04387,0.01597,0.13729,0.09268,0.03794,0.01246,1.74128,2.57534,9.29499,1.32644,0,0.000911,0.000911,0.000911
24,457.418,1.89821,3.1726,2.13374,1.3795,0,0.07601,0.07805,0.03163,0.01162,0.059,0.0878,0.02322,0.00789,1.75355,2.65406,6.22913,1.39168,0,0.0008615,0.0008615,0.0008615
25,477.364,1.89683,3.14834,2.09268,1.36317,0,0.05891,0.05366,0.01875,0.00758,0.05982,0.04878,0.01605,0.00602,1.85756,2.76516,7.89961,1.32067,0,0.000812,0.000812,0.000812
26,496.153,1.88387,3.12515,2.08635,1.36132,0,0.08298,0.1561,0.03614,0.01451,0.0726,0.16231,0.03109,0.01081,1.63412,2.55644,27.0292,1.20701,0,0.0007625,0.0007625,0.0007625
