epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8086,1.43778,3.39495,1.47448,0.67631,0.11766,0.31534,0.18718,1.42254,3.2094,1.38368,0.000328205,0.000328205,0.000328205
2,63.9072,1.47887,2.42765,1.47119,0.51542,0.36346,0.38668,0.21481,1.51522,2.83394,1.47862,0.000645165,0.000645165,0.000645165
3,87.2716,1.41445,2.01913,1.41194,0.55653,0.51563,0.52457,0.30123,1.57957,2.38376,1.54712,0.000945626,0.000945626,0.000945626
4,110.008,1.39797,1.79714,1.37612,0.67037,0.54916,0.63926,0.38666,1.45134,2.13118,1.43609,0.00092575,0.00092575,0.00092575
5,132.852,1.38249,1.65127,1.36737,0.56776,0.50835,0.50588,0.31364,1.4128,2.1843,1.41546,0.000901,0.000901,0.000901
6,155.683,1.32983,1.56775,1.33442,0.76662,0.57325,0.68258,0.41399,1.42924,1.87276,1.42248,0.00087625,0.00087625,0.00087625
7,179.065,1.33107,1.52497,1.33252,0.7368,0.66152,0.72608,0.45603,1.38324,1.64107,1.38139,0.0008515,0.0008515,0.0008515
8,204.094,1.30054,1.40047,1.2987,0.78663,0.61023,0.73352,0.4408,1.40426,1.62753,1.35166,0.00082675,0.00082675,0.00082675
9,227.397,1.26718,1.33254,1.285,0.77528,0.65091,0.73479,0.44968,1.40717,1.57243,1.35643,0.000802,0.000802,0.000802
10,251.847,1.26932,1.26858,1.27734,0.72812,0.73266,0.78411,0.49477,1.34292,1.43686,1.34893,0.00077725,0.00077725,0.00077725
11,274.901,1.24849,1.21155,1.25757,0.75716,0.70043,0.7612,0.47389,1.35661,1.49494,1.30977,0.0007525,0.0007525,0.0007525
12,297.993,1.21537,1.18266,1.24579,0.85068,0.72652,0.81696,0.50814,1.37193,1.24868,1.36015,0.00072775,0.00072775,0.00072775
13,320.262,1.20626,1.15985,1.24057,0.75454,0.72917,0.78181,0.50746,1.35325,1.41758,1.3258,0.000703,0.000703,0.000703
14,343.68,1.17045,1.08195,1.22947,0.82785,0.68058,0.7795,0.48106,1.40237,1.29286,1.35245,0.00067825,0.00067825,0.00067825
15,365.756,1.16042,1.0724,1.21344,0.80643,0.75987,0.81635,0.51643,1.34177,1.23081,1.34388,0.0006535,0.0006535,0.0006535
16,388.43,1.14126,1.01551,1.19366,0.8194,0.77371,0.83227,0.52256,1.34261,1.16154,1.34824,0.00062875,0.00062875,0.00062875
17,412.647,1.12859,0.97469,1.19319,0.80821,0.76755,0.82451,0.52356,1.34867,1.14133,1.33147,0.000604,0.000604,0.000604
18,434.842,1.10306,0.94175,1.17949,0.8279,0.78821,0.83604,0.52904,1.30764,1.17496,1.30689,0.00057925,0.00057925,0.00057925
19,458.02,1.09533,0.92565,1.1737,0.81012,0.71163,0.80901,0.50156,1.33772,1.30243,1.37079,0.0005545,0.0005545,0.0005545
20,480.956,1.07073,0.89412,1.15525,0.88275,0.75251,0.83458,0.53641,1.33887,1.04418,1.3246,0.00052975,0.00052975,0.00052975
21,503.649,1.08003,0.899,1.16774,0.86494,0.71067,0.79653,0.50857,1.32931,1.28788,1.30288,0.000505,0.000505,0.000505
22,527.016,1.05528,0.85204,1.14857,0.82932,0.79131,0.85986,0.54559,1.30235,0.99565,1.30232,0.00048025,0.00048025,0.00048025
23,549.205,1.03218,0.83168,1.12758,0.85991,0.76274,0.84837,0.54133,1.32321,1.01663,1.30435,0.0004555,0.0004555,0.0004555
24,571.299,1.02452,0.80654,1.12406,0.83949,0.77859,0.83992,0.54787,1.28461,1.01813,1.2874,0.00043075,0.00043075,0.00043075
25,595.121,1.00815,0.79097,1.12052,0.84675,0.77292,0.8399,0.5265,1.34835,1.0179,1.31691,0.000406,0.000406,0.000406
26,617.139,1.00147,0.78812,1.11425,0.82517,0.79804,0.85315,0.55489,1.29219,0.91507,1.29504,0.00038125,0.00038125,0.00038125
27,639.402,0.98029,0.77528,1.09891,0.84112,0.78276,0.83328,0.54833,1.33548,0.98982,1.32819,0.0003565,0.0003565,0.0003565
28,662.082,0.9774,0.73048,1.09591,0.87744,0.74606,0.82976,0.54773,1.34416,1.03395,1.33659,0.00033175,0.00033175,0.00033175
29,685.718,0.94949,0.70542,1.08156,0.85097,0.80457,0.84785,0.5552,1.29822,0.93506,1.31138,0.000307,0.000307,0.000307
30,708.121,0.94339,0.70862,1.07959,0.82016,0.80895,0.84587,0.55169,1.33116,0.95544,1.327,0.00028225,0.00028225,0.00028225
31,735.531,0.9054,0.68167,1.05344,0.84458,0.80915,0.85163,0.55385,1.33946,0.89863,1.34971,0.0002575,0.0002575,0.0002575
32,757.25,0.86471,0.6033,1.02839,0.87517,0.7732,0.83937,0.53271,1.35592,0.93575,1.36047,0.00023275,0.00023275,0.00023275
33,777.434,0.83073,0.56839,1.01431,0.86336,0.80107,0.83626,0.54001,1.33446,0.99263,1.35662,0.000208,0.000208,0.000208
34,797.082,0.8141,0.55714,0.99861,0.85583,0.80505,0.84963,0.54044,1.27844,0.91786,1.30616,0.00018325,0.00018325,0.00018325
35,816.554,0.81026,0.55441,0.99729,0.88408,0.80099,0.86041,0.54437,1.30352,0.90969,1.33317,0.0001585,0.0001585,0.0001585
36,836.349,0.7834,0.52458,0.9834,0.86154,0.78417,0.84638,0.54225,1.3134,0.92896,1.3358,0.00013375,0.00013375,0.00013375
37,856.192,0.77876,0.51524,0.98021,0.87478,0.80161,0.85901,0.54734,1.32397,0.86725,1.35629,0.000109,0.000109,0.000109
38,875.404,0.75582,0.50002,0.97467,0.87055,0.80966,0.85162,0.54445,1.32668,0.87013,1.35915,8.425e-05,8.425e-05,8.425e-05
39,895.018,0.74975,0.49359,0.96908,0.87494,0.81277,0.84981,0.54275,1.34255,0.8839,1.37194,5.95e-05,5.95e-05,5.95e-05
